C.D.S.  -  SIMBAD4 rel 1.8  -  2025.01.29CET17:13:11

Number of objects : 9018

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
77  |HD 224870                          |*  |00 01 19.2513981456 +49 58 53.604988572|     ~   |7.185    |6.217    |     ~   |     ~   |G7II-III             |  33 |   0
78  |HD 1279                            |*  |00 17 09.0440331312 +47 56 50.661966660|5.36     |5.764    |5.852    |     ~   |     ~   |B7III                |  71 |   0
79  |HD 1601                            |*  |00 20 30.9290699232 +48 58 07.080395628|7.230    |7.000    |6.470    |     ~   |     ~   |F6II-III             |  27 |   0
80  |HD 3574                            |*  |00 39 09.8940906336 +49 21 16.517849688|     ~   |7.072    |5.419    |     ~   |     ~   |K5III                |  52 |   0
81  |* omi Cas                          |Be*|00 44 43.5186007265 +48 17 03.731037403|3.91     |4.44     |4.50     |4.45     |4.50     |B5IIIe               | 287 |   0
82  |* 68 Cas                           |Pu*|00 44 26.1915514056 +47 51 50.342883408|     ~   |5.520    |5.648    |     ~   |     ~   |B5V                  | 110 |   0
83  |HD 5927                            |*  |01 01 27.0446667856 +49 32 39.196117319|     ~   |7.59     |6.48     |     ~   |     ~   |G5                   |  13 |   0
84  |HD 5273                            |V* |00 55 05.2043429616 +48 40 42.681101412|10.000   |8.010    |6.310    |     ~   |     ~   |~                    |  25 |   0
85  |* phi And                          |Be*|01 09 30.12562 +47 14 30.4594          |3.84     |4.18     |4.25     |4.22     |4.27     |B5IIIe               | 241 |   0
86  |* phi And A                        |*  |01 09 30.122064 +47 14 30.46772        |     ~   |4.54     |4.294    |     ~   |     ~   |~                    |   7 |   0
87  |* phi And B                        |*  |01 09 30.152592 +47 14 30.22678        |     ~   |5.55     |5.62     |     ~   |     ~   |~                    |   1 |   0
88  |* 49 And                           |*  |01 30 06.1015103472 +47 00 26.181123984|     ~   |6.261    |5.261    |     ~   |     ~   |K0III                |  83 |   0
89  |HD 7758                            |*  |01 18 10.1484160728 +47 25 10.941500244|     ~   |7.602    |6.246    |     ~   |     ~   |K0                   |  19 |   0
90  |V* GY And                          |a2*|01 38 31.8255225672 +45 23 58.935650100|     ~   |6.343    |6.380    |     ~   |     ~   |A2:VpSiSrCrEu        | 264 |   0
91  |HD 10597                           |*  |01 44 26.5266628800 +46 08 22.892710560|9.440    |7.740    |6.310    |     ~   |     ~   |K5III                |  21 |   0
92  |HD 10874                           |PM*|01 47 48.0144682200 +46 13 47.095939740|     ~   |6.761    |6.317    |     ~   |     ~   |F6V                  |  52 |   0
93  |HD 10486                           |PM*|01 43 16.5039312816 +45 19 21.537082092|8.31     |7.36     |6.32     |5.58     |5.09     |K0                   |  69 |   0
94  |HD 13013                           |*  |02 08 33.5596902840 +44 27 33.946698168|7.970    |7.340    |6.380    |     ~   |     ~   |G8III-IV             |  30 |   0
